                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0652,                 5.3859,                  4.053,                0.00287,                0.03166,                0.00227,                0.00065,                 2.6916,                 4.2192,                 3.7196,             6.2974e-05,             6.2974e-05,             6.2974e-05
                      2,                 2.4965,                 5.1311,                 3.2873,                0.84558,                0.00444,                0.01022,                0.00263,                 2.2584,                 4.1354,                  3.104,             0.00012348,             0.00012348,             0.00012348
                      3,                 1.8283,                 4.4855,                 2.5043,                0.76402,                0.02753,                0.04455,                0.01701,                 1.9565,                 3.6409,                 2.7929,             0.00018149,             0.00018149,             0.00018149
                      4,                 1.6429,                 4.0451,                 2.2531,                0.53983,                0.10507,                0.09171,                0.03867,                   1.85,                 3.3476,                 2.6556,             0.00017777,             0.00017777,             0.00017777
                      5,                 1.5693,                 3.7689,                 2.1566,                0.59341,                 0.1583,                0.16007,                0.07545,                 1.8091,                 3.0311,                 2.5524,             0.00017777,             0.00017777,             0.00017777
                      6,                 1.5252,                 3.5653,                 2.1041,                  0.387,                0.28655,                0.21594,                0.10644,                 1.7927,                 2.8482,                 2.5292,             0.00017403,             0.00017403,             0.00017403
                      7,                 1.4977,                 3.3829,                 2.0631,                0.51959,                0.35255,                0.28533,                0.14296,                 1.7954,                 2.5385,                 2.5057,             0.00017029,             0.00017029,             0.00017029
                      8,                 1.4682,                 3.2385,                 2.0362,                 0.4879,                0.37587,                0.34274,                0.16772,                 1.7435,                 2.4032,                 2.5051,             0.00016655,             0.00016655,             0.00016655
                      9,                 1.4487,                  3.108,                 2.0062,                0.49663,                0.40979,                0.37937,                0.19352,                 1.7045,                 2.2017,                 2.4089,              0.0001628,              0.0001628,              0.0001628
                     10,                   1.43,                 3.0053,                 1.9829,                0.52947,                0.45841,                0.46267,                0.23836,                 1.6837,                 2.1302,                 2.3861,             0.00015906,             0.00015906,             0.00015906
                     11,                 1.4199,                 2.9155,                 1.9724,                0.62653,                0.42267,                0.51372,                0.28595,                 1.6291,                 2.0246,                 2.3158,             0.00015532,             0.00015532,             0.00015532
                     12,                 1.4059,                 2.8222,                 1.9556,                0.64287,                0.44748,                0.54838,                0.30094,                 1.6363,                 1.9408,                 2.3414,             0.00015158,             0.00015158,             0.00015158
                     13,                 1.3912,                 2.7362,                 1.9373,                0.58235,                0.52755,                0.58225,                0.32537,                 1.6001,                 1.8864,                 2.2991,             0.00014784,             0.00014784,             0.00014784
                     14,                 1.3867,                 2.6654,                 1.9301,                0.59732,                0.52782,                0.60641,                0.33344,                 1.6297,                 1.7681,                  2.298,             0.00014409,             0.00014409,             0.00014409
                     15,                 1.3697,                 2.5918,                 1.9216,                0.64295,                0.57513,                0.65794,                0.37652,                 1.5835,                 1.7221,                 2.2668,             0.00014035,             0.00014035,             0.00014035
                     16,                 1.3622,                 2.5302,                 1.9062,                 0.7121,                0.55186,                0.67453,                0.39019,                 1.5792,                 1.5967,                 2.2665,             0.00013661,             0.00013661,             0.00013661
                     17,                 1.3448,                  2.481,                  1.896,                0.67677,                 0.6058,                0.69559,                0.40243,                 1.5294,                 1.6016,                 2.2325,             0.00013287,             0.00013287,             0.00013287
                     18,                 1.3466,                 2.4282,                 1.8889,                0.67527,                0.66571,                0.72094,                 0.4247,                 1.5283,                 1.5246,                  2.227,             0.00012912,             0.00012912,             0.00012912
                     19,                 1.3397,                 2.3614,                 1.8834,                0.67002,                0.69086,                0.72653,                0.42813,                 1.5261,                 1.4755,                 2.2119,             0.00012538,             0.00012538,             0.00012538
                     20,                 1.3322,                 2.3101,                 1.8729,                0.66692,                0.70968,                0.74543,                 0.4472,                 1.5116,                 1.4141,                 2.1827,             0.00012164,             0.00012164,             0.00012164
                     21,                 1.3148,                 2.2681,                 1.8552,                0.73237,                0.68608,                0.76821,                0.44715,                  1.522,                 1.4131,                 2.2005,              0.0001179,              0.0001179,              0.0001179
                     22,                 1.3232,                 2.2449,                 1.8571,                0.73086,                 0.6808,                0.77184,                 0.4623,                 1.4767,                 1.3585,                 2.1651,             0.00011416,             0.00011416,             0.00011416
                     23,                 1.3094,                 2.1936,                 1.8505,                 0.7327,                0.74684,                0.79821,                0.48879,                 1.4728,                 1.3438,                 2.1557,             0.00011041,             0.00011041,             0.00011041
                     24,                 1.3047,                 2.1545,                   1.84,                0.73343,                0.76582,                0.81406,                0.48886,                 1.4878,                 1.3225,                 2.1637,             0.00010667,             0.00010667,             0.00010667
                     25,                 1.2983,                 2.1289,                 1.8337,                0.77164,                0.75157,                0.81753,                0.49986,                  1.476,                 1.2424,                 2.1376,             0.00010293,             0.00010293,             0.00010293
                     26,                  1.285,                  2.097,                 1.8193,                 0.7451,                0.78502,                0.83422,                0.51175,                 1.4621,                 1.2373,                 2.1257,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     27,                  1.277,                 2.0534,                 1.8125,                0.78899,                0.77622,                0.83511,                0.51215,                 1.4681,                 1.2344,                 2.1204,             9.5445e-05,             9.5445e-05,             9.5445e-05
                     28,                 1.2725,                 2.0277,                 1.8134,                0.82577,                0.76997,                0.85065,                0.51958,                 1.4587,                 1.2048,                 2.1365,             9.1703e-05,             9.1703e-05,             9.1703e-05
                     29,                 1.2755,                 2.0213,                 1.8079,                0.81145,                 0.7817,                0.85007,                0.52295,                 1.4556,                 1.1792,                 2.1248,             8.7961e-05,             8.7961e-05,             8.7961e-05
                     30,                  1.269,                 1.9926,                 1.7951,                0.80259,                0.79406,                0.85399,                0.52559,                 1.4617,                 1.1255,                  2.108,             8.4218e-05,             8.4218e-05,             8.4218e-05
                     31,                  1.263,                 1.9426,                  1.797,                0.84304,                0.78534,                0.86201,                0.53217,                 1.4492,                 1.1124,                 2.1096,             8.0476e-05,             8.0476e-05,             8.0476e-05
                     32,                 1.2514,                 1.9111,                 1.7833,                0.78105,                0.82101,                0.85804,                0.53154,                 1.4377,                 1.1273,                 2.0976,             7.6734e-05,             7.6734e-05,             7.6734e-05
                     33,                  1.254,                 1.8994,                 1.7888,                0.80044,                0.82772,                0.86871,                0.54081,                 1.4309,                 1.1269,                 2.0884,             7.2992e-05,             7.2992e-05,             7.2992e-05
                     34,                 1.2412,                 1.8985,                 1.7737,                0.81518,                0.80158,                0.86001,                0.53558,                 1.4312,                 1.1051,                  2.093,              6.925e-05,              6.925e-05,              6.925e-05
                     35,                 1.2416,                 1.8656,                 1.7827,                0.83975,                0.80127,                0.87307,                0.54045,                 1.4388,                  1.087,                 2.0941,             6.5507e-05,             6.5507e-05,             6.5507e-05
                     36,                 1.2356,                  1.837,                 1.7744,                0.80401,                 0.8268,                0.87058,                0.53769,                  1.432,                 1.0866,                 2.0824,             6.1765e-05,             6.1765e-05,             6.1765e-05
                     37,                 1.2319,                 1.8455,                 1.7655,                0.83279,                0.80938,                0.88236,                0.54483,                 1.4311,                 1.0542,                 2.0871,             5.8023e-05,             5.8023e-05,             5.8023e-05
                     38,                 1.2155,                 1.8086,                  1.755,                0.84695,                0.79377,                0.87047,                0.54743,                  1.435,                 1.0547,                 2.0868,             5.4281e-05,             5.4281e-05,             5.4281e-05
                     39,                  1.225,                 1.8055,                 1.7571,                0.84635,                0.82797,                0.88005,                0.55356,                 1.4345,                 1.0288,                 2.0875,             5.0539e-05,             5.0539e-05,             5.0539e-05
                     40,                 1.2224,                 1.7817,                 1.7567,                0.83778,                0.83179,                0.88141,                 0.5455,                 1.4301,                 1.0211,                 2.0809,             4.6796e-05,             4.6796e-05,             4.6796e-05
                     41,                 1.1382,                 1.1317,                 1.8384,                0.82024,                0.86433,                0.89918,                0.55852,                 1.3954,                 1.0567,                 2.0571,             4.3054e-05,             4.3054e-05,             4.3054e-05
                     42,                 1.1112,                 1.0704,                 1.8099,                0.85714,                0.84702,                0.89631,                0.56233,                 1.4032,                 1.0355,                 2.0619,             3.9312e-05,             3.9312e-05,             3.9312e-05
                     43,                 1.1023,                 1.0506,                 1.8034,                0.87365,                0.83292,                0.90157,                0.56692,                 1.3905,                 1.0226,                 2.0553,              3.557e-05,              3.557e-05,              3.557e-05
                     44,                 1.0875,                 1.0154,                  1.795,                0.85016,                0.85234,                0.90547,                0.56584,                 1.3905,                 1.0062,                  2.053,             3.1828e-05,             3.1828e-05,             3.1828e-05
                     45,                  1.077,                 1.0005,                  1.777,                0.85927,                0.85508,                 0.9078,                0.57226,                 1.3806,                0.98478,                 2.0466,             2.8085e-05,             2.8085e-05,             2.8085e-05
                     46,                 1.0667,                0.98235,                 1.7705,                0.87116,                0.86157,                0.90927,                0.57489,                 1.3824,                0.98952,                 2.0465,             2.4343e-05,             2.4343e-05,             2.4343e-05
                     47,                 1.0552,                0.96921,                 1.7568,                0.86582,                0.85124,                0.90798,                0.56811,                 1.3873,                0.99176,                 2.0488,             2.0601e-05,             2.0601e-05,             2.0601e-05
                     48,                 1.0603,                0.95716,                 1.7626,                0.86649,                0.85775,                0.91379,                0.56656,                  1.391,                0.97759,                 2.0541,             1.6859e-05,             1.6859e-05,             1.6859e-05
                     49,                 1.0564,                0.94466,                 1.7539,                0.86307,                0.86159,                0.90828,                0.56929,                 1.3887,                0.97371,                 2.0467,             1.3117e-05,             1.3117e-05,             1.3117e-05
                     50,                 1.0407,                0.93143,                 1.7457,                0.85187,                0.85841,                0.90959,                0.56756,                 1.3904,                0.97541,                 2.0489,             9.3744e-06,             9.3744e-06,             9.3744e-06
